DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
USA;AXM;84;111249;41
PAN;AXM;10;8120;31
DEU;BOG;294;1837;5
DEU;BOG;195;679;25
DEU;BOG;360;1918;7562731
DEU;BOG;60;277;5
DEU;BOG;26;130;98
DEU;BOG;299;1511;17
DEU;BOG;12;96;9
DEU;BOG;3;21;42
DEU;BOG;25453;13980;34
DEU;BOG;8320;21815;44
DEU;BOG;2540;1494;74
DEU;BOG;40;2;1
DEU;BOG;36;15;58886
DEU;BOG;31;1500;5998815
DEU;BOG;3700;592;2324055
DEU;BOG;32840;5569;2
DEU;BOG;69;110274;4
DEU;BOG;1400;252;991012
DEU;BOG;25600;4411;2
DEU;BOG;500;1500;5974725
DEU;BOG;31;2502;9965841
DEU;BOG;10600;1908;7629157
DEU;BOG;81040;14528;57782796
DEU;BOG;50136;13865;57
DEU;BOG;2310;371;85
DEU;BOG;11830;2095;9
DEU;BOG;144;560;2234148
DEU;BOG;1374;6063;5
DEU;BOG;405;6055;34
DEU;BOG;560;19389;77216692
DEU;BOG;0;22500;11
DEU;BOG;11860;7616;4
DEU;BOG;216;11475;45403820
DEU;BOG;277;10214;44
DEU;BOG;771;14116;37
DEU;BOG;47;2639;71
DEU;BOG;110;3425;31
DEU;BOG;147;33328;16
DEU;BOG;440;683;77
DEU;BOG;1780;12055;5
DEU;BOG;288;214;25
DEU;BOG;54155;19841;31
DEU;BOG;7;383;1499609
DEU;BOG;1;50;195771
DEU;BOG;12420;2235;6
DEU;BOG;525;5565;22162612
DEU;BOG;172;1486;47
DEU;BOG;5600;1064;4119222
DEU;BOG;8400;1592;6163348
DEU;BOG;5680;965;6
DEU;BOG;17160;3256;13019148
DEU;BOG;75940;13993;54935835
DEU;BOG;13410;2426;4
DEU;BOG;99968;18203;52
DEU;BOG;17163;18415;2
DEU;BOG;19280;2668;36
DEU;BOG;51040;7527;72
DEU;BOG;3660;658;8
DEU;BOG;20020;5137;20540345
DEU;BOG;1800;917;3628348
DEU;BOG;84;135475;548026179
DEU;BOG;7100;2766;54
DEU;BOG;1;971;81
DEU;BOG;2160;9489;6
DEU;BOG;6;22;5
DEU;BOG;3;2;7765
DEU;BOG;36;149;587511
DEU;BOG;9400;42158;56
DEU;BOG;3200;800;3192704
DEU;BOG;21;111;65
DEU;BOG;108;470;2
DEU;BOG;38;109;5
DEU;BOG;50;437;5
DEU;BOG;35;180;6
DEU;BOG;32;207;7
DEU;BOG;50;172;687743
DEU;BOG;388;2683;10766904
DEU;BOG;385;2231;2
DEU;BOG;38;118;5
DEU;BOG;29;243;971637
DEU;BOG;37;164854;57
DEU;BOG;98;11631;8
DEU;BOG;82;4363;38
DEU;BOG;1;8486;5
DEU;BOG;465;25100;7
DEU;BOG;2;5;19224
DEU;BOG;2;1970;6
DEU;BOG;12;11262;69
DEU;BOG;8460;1353;6
DEU;BOG;87120;16498;8
DEU;BOG;2;91000;353010550
DEU;BOG;4080;554;88
DEU;BOG;6800;924;8
DEU;BOG;15300;3825;15265116
DEU;BOG;24140;6035;24084960
DEU;BOG;4200;672;2658351
DEU;BOG;48160;7705;6
DEU;BOG;17700;4385;5
DEU;BOG;2400;707;33
DEU;BOG;985;6163;24194520
DEU;BOG;150;678;9
DEU;BOG;22900;3293;95
DEU;BOG;2898;2648878;2
DEU;BOG;307;25974;103458338
DEU;BOG;1970685;11657;58
DEU;BOG;322;10299;44
DEU;BOG;675500;3152;17
ARM;BOG;2000;340;1367891
ARM;BOG;67;157;9
ARM;BOG;1214;3655;8
ARM;BOG;147;322;7
ARM;BOG;400;74;294705
ARM;BOG;3550;607;2428776
ARM;BOG;9440;2926;4
ARM;BOG;800;140;557550
ARM;BOG;4190;769;9
ARM;BOG;35450;5938;75
ARM;BOG;1885;400;6
ARM;BOG;250;25;98919
ARM;BOG;7;20;79135
ARM;BOG;350;63;251906
ARM;BOG;350;59;5
ARM;BOG;6050;992;5
ARM;BOG;4000;220;876293
ABW;BOG;13972;4317;73
ABW;BOG;3425;910;95
ABW;BOG;1548;435;1
ABW;BOG;258;39;55
ABW;BOG;3502;586;55
ABW;BOG;516;118;66
ABW;BOG;18060;4569;34
ABW;BOG;289;2768;83
ABW;BOG;130;1067;23
ABW;BOG;40;102;96
ABW;BOG;80;85;64
ABW;BOG;70;206;22
ABW;BOG;50;1406;5529221
ABW;BOG;90;2270;52
ABW;BOG;54;1218;2
ABW;BOG;159;4085;41
ABW;BOG;58;1748;53
ABW;BOG;337;9732;3
ABW;BOG;148;2788;33
ABW;BOG;36;500;4
ABW;BOG;36;629;4
ABW;BOG;2325;744;2925846
ABW;BOG;1296;568;9
ABW;BOG;5380;2389;2
ABW;BOG;2018;597;29
ABW;BOG;1345;447;97
ABW;BOG;336;119;46
ABW;BOG;8743;2257;8
ABW;BOG;108;358;38
ABW;BOG;0;35;139410
ABW;BOG;32;358;4
ABW;BOG;13;93;355450
ABW;BOG;680;190;2
ABW;BOG;1040;272;8
ABW;BOG;710;213;839865
ABW;BOG;360;72;283898
ABW;BOG;370;358;25
ABW;BOG;1718;1215;67
ABW;BOG;198;2402;98
ABW;BOG;40;81;66
ABW;BOG;35;79;7
ABW;BOG;84;182;87
ABW;BOG;90;183;49
ABW;BOG;70;157;95
ABW;BOG;204;443;66
ABW;BOG;188;717;2860507
ABW;BOG;3;31;98
ABW;BOG;79;416;3
ABW;BOG;10;53;8
ABW;BOG;1571;7530;2
ABW;BOG;30;61;44
ABW;BOG;30;67;99
ABW;BOG;84;183;47
ABW;BOG;447;345412;75
