DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
USA,AXM,110,45,88974
PAN,AXM,21,26,17441
DEU,BOG,576,4475,52
DEU,BOG,84,84,525
DEU,BOG,30,30,114
DEU,BOG,90,90,313
DEU,BOG,5,5,30
DEU,BOG,144,144,768
DEU,BOG,8,8,37
DEU,BOG,32,32,33556
DEU,BOG,20,73,3280
DEU,BOG,50,34,34
DEU,BOG,18,12,36
DEU,BOG,25,17,17
DEU,BOG,30,6,4920
DEU,BOG,35,24,4
DEU,BOG,20,73,2560
DEU,BOG,1031,107926,11
DEU,BOG,2,11612,12
DEU,BOG,8960,1612,8
DEU,BOG,140,8191,68
DEU,BOG,4900,154,882
DEU,BOG,14400,501,2592
DEU,BOG,10555,315,1891
DEU,BOG,37203,1239,6639
DEU,BOG,58832,8,15773
DEU,BOG,2825,92,452
DEU,BOG,23620,787,4263
DEU,BOG,9,9,18
DEU,BOG,49,98,49
DEU,BOG,78,78,195
DEU,BOG,20,20,75
DEU,BOG,270,6,270
DEU,BOG,99,99,367
DEU,BOG,81,81,276
DEU,BOG,196,57,196
DEU,BOG,1770,54,1770
DEU,BOG,29,29,164
DEU,BOG,32,56,32
DEU,BOG,140,3176,6
DEU,BOG,30,45144,57
DEU,BOG,284,8,0
DEU,BOG,0,41,0
DEU,BOG,106196,8,28408
DEU,BOG,10,10,54
DEU,BOG,270,284,6
DEU,BOG,12,12,65
DEU,BOG,1,1,5
DEU,BOG,32,150,637350
DEU,BOG,3,120,494474
DEU,BOG,1,9,3710
DEU,BOG,31,2,32
DEU,BOG,4,0,98
DEU,BOG,27,1,56
DEU,BOG,8,264,3407
DEU,BOG,24,1519,78
DEU,BOG,2,100,405376
DEU,BOG,2,34,5499
DEU,BOG,37600,6812,28848854
DEU,BOG,11520,342,2073
DEU,BOG,63680,1976,11503
DEU,BOG,4400,154,836
DEU,BOG,8800,316,1672
DEU,BOG,5476,217,930
DEU,BOG,16438,641,3463
DEU,BOG,2802,3965,94
DEU,BOG,1,71,89
DEU,BOG,1,10,83
DEU,BOG,1,80,26
DEU,BOG,50,50,434
DEU,BOG,300,300,684
DEU,BOG,24480,4892,20786108
DEU,BOG,2250,672,2842969
DEU,BOG,26256,615,28491
DEU,BOG,23220,697,3199
DEU,BOG,70780,2483,10801
DEU,BOG,1800,924,5
DEU,BOG,1550,10122,75
DEU,BOG,0,5,0
DEU,BOG,2714,9,3214
DEU,BOG,125,2,0
DEU,BOG,7100,220,1278
DEU,BOG,41367,1381,7450
DEU,BOG,1,639,61
DEU,BOG,246,2081,67
DEU,BOG,7537,41130,174343900
DEU,BOG,1300,1300,7800
DEU,BOG,2,2,1
DEU,BOG,180,180,477
DEU,BOG,3420,3420,18183
DEU,BOG,4800,624,2639900
DEU,BOG,20,20,84
DEU,BOG,25,25,112
DEU,BOG,130,130,489
DEU,BOG,26,26,112
DEU,BOG,10,10,4
DEU,BOG,13,13,157
DEU,BOG,216,216,808
DEU,BOG,70,70,329
DEU,BOG,1125,1125,5884
DEU,BOG,17,17,86
DEU,BOG,1000,0,1
DEU,BOG,319,163,6
DEU,BOG,253671,1,1388
DEU,BOG,2040,30,277
DEU,BOG,2380,35,323
DEU,BOG,40200,1174,48
DEU,BOG,230280,6545,52
DEU,BOG,180,4,27
DEU,BOG,4760,156,618
DEU,BOG,2380,77,309
DEU,BOG,13320,370,2131
DEU,BOG,91980,2672,13690
DEU,BOG,8160,2448,10245904
DEU,BOG,8,35,8800
DEU,BOG,2,1,2200
DEU,BOG,4856,4856,8
DEU,BOG,834,8,34
DEU,BOG,32845,4646,5
DEU,BOG,3381,37,2939106
DEU,BOG,560,19753,22
DEU,BOG,2162,99,2162
DEU,BOG,300,883,1
ARM,BOG,60,0,12
ARM,BOG,448,1468,8
ARM,BOG,800,148,601002
ARM,BOG,1540,55,246
ARM,BOG,37690,1010,5653
ARM,BOG,10560,3270,4
ARM,BOG,700,126,534095
ABW,BOG,2864,712,977
ABW,BOG,2532,161,866
ABW,BOG,1593,92,464
ABW,BOG,25,9,387
ABW,BOG,156,46,107
ABW,BOG,161,161,651
ABW,BOG,4325,225,1384
ABW,BOG,3340,377,1563
ABW,BOG,169,169,931
ABW,BOG,13566,727,62
ABW,BOG,564,30,25
ABW,BOG,377,20,22
ABW,BOG,1317,70,63
ABW,BOG,752,40,33
ABW,BOG,376,20,16
ABW,BOG,29025,1556,71
ABW,BOG,90,74,90
ABW,BOG,30,30,87
ABW,BOG,120,120,313
ABW,BOG,24,5,387
ABW,BOG,344,65,32
ABW,BOG,75,2378,10038465
ABW,BOG,347,84,68
ABW,BOG,41,48,205
ABW,BOG,8,18,75985
ABW,BOG,4591,274,1
ABW,BOG,200,11,93
ABW,BOG,998,59,56
ABW,BOG,798,47,62
ABW,BOG,600,35,81
ABW,BOG,200,11,93
ABW,BOG,7985,476,54
ABW,BOG,71,74,71
ABW,BOG,225,3300,13598046
ABW,BOG,86,18,92
ABW,BOG,21,4,62
ABW,BOG,113,24,86
ABW,BOG,241,53,2
ABW,BOG,60,13,2
ABW,BOG,228,50,16
ABW,BOG,12,2,64
ABW,BOG,52,65,52
ABW,BOG,29,33,29
ABW,BOG,41,32,41
ABW,BOG,36,39,36
ABW,BOG,310,21,310
ABW,BOG,144,25,144
ABW,BOG,16,8,16
ABW,BOG,325,621,43
ABW,BOG,21,41,48
ABW,BOG,4725,84,1542
ABW,BOG,250,4,35
ABW,BOG,1750,16,242
ABW,BOG,2630,56,657
ABW,BOG,1660,24,498
ABW,BOG,500,60,316
ABW,BOG,5437,252,2689
ABW,BOG,188,188,2514
ABW,BOG,60,60,122
ABW,BOG,55,55,124
ABW,BOG,168,168,366
ABW,BOG,60,60,122
ABW,BOG,55,55,124
ABW,BOG,168,168,366
ABW,BOG,389,72,250056
ABW,BOG,474,3792,59
BIH,BOG,5,40,168558
BIH,BOG,31755,577,8891
BIH,BOG,9000,80,1080
