DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES,FLETES,SEGURO
USA,AXM,110,45,88974,108082,89
PAN,AXM,21,26,17441,18547,78465123
DEU,BOG,576,4475,52,95,0
DEU,BOG,84,84,525,25,0
DEU,BOG,30,30,114,54,0
DEU,BOG,90,90,313,1326296,23
DEU,BOG,5,5,30,129879,72
DEU,BOG,144,144,768,48,0
DEU,BOG,8,8,37,57,0
DEU,BOG,32,32,33556,142239359,3
DEU,BOG,20,73,3280,8,0
DEU,BOG,50,34,34,4,32750844
DEU,BOG,18,12,36,28023560,64
DEU,BOG,25,17,17,26229781,0
DEU,BOG,30,6,4920,2,0
DEU,BOG,35,24,4,29021984,6
DEU,BOG,20,73,2560,6,0
DEU,BOG,1031,107926,11,2,0
DEU,BOG,2,11612,12,31,0
DEU,BOG,8960,1612,8,8,155999
DEU,BOG,140,8191,68,94,846571856
DEU,BOG,4900,154,882,0,0
DEU,BOG,14400,501,2592,0,0
DEU,BOG,10555,315,1891,8006464,4
DEU,BOG,37203,1239,6639,28097487,69
DEU,BOG,58832,8,15773,66022338,45
DEU,BOG,2825,92,452,72,0
DEU,BOG,23620,787,4263,17894159,85
DEU,BOG,9,9,18,62,0
DEU,BOG,49,98,49,144,5
DEU,BOG,78,78,195,55,0
DEU,BOG,20,20,75,75,0
DEU,BOG,270,6,270,1030,5
DEU,BOG,99,99,367,1561367,44
DEU,BOG,81,81,276,1177403,72
DEU,BOG,196,57,196,1008,4286106
DEU,BOG,1770,54,1770,7254,30844660
DEU,BOG,29,29,164,76,0
DEU,BOG,32,56,32,121,5
DEU,BOG,140,3176,6,91,0
DEU,BOG,30,45144,57,4,0
DEU,BOG,284,8,0,98500,417526725
DEU,BOG,0,41,0,61500,260689275
DEU,BOG,106196,8,28408,119702134,9
DEU,BOG,10,10,54,91,2554413
DEU,BOG,270,284,6,38,39617206
DEU,BOG,12,12,65,54,1456803
DEU,BOG,1,1,5,8,250533
DEU,BOG,32,150,637350,1000,50
DEU,BOG,3,120,494474,0,0
DEU,BOG,1,9,3710,6,0
DEU,BOG,31,2,32,64,10154150
DEU,BOG,4,0,98,86,1381592
DEU,BOG,27,1,56,2,13366797
DEU,BOG,8,264,3407,13811565,69
DEU,BOG,24,1519,78,95,0
DEU,BOG,2,100,405376,0,0
DEU,BOG,2,34,5499,22662503,46
DEU,BOG,37600,6812,28848854,659932,0
DEU,BOG,11520,342,2073,8735040,0
DEU,BOG,63680,1976,11503,48459926,0
DEU,BOG,4400,154,836,81452,0
DEU,BOG,8800,316,1672,162905,0
DEU,BOG,5476,217,930,3921500,5
DEU,BOG,16438,641,3463,14591257,5
DEU,BOG,2802,3965,94,42,383996
DEU,BOG,1,71,89,24,9948708
DEU,BOG,1,10,83,98,1499114
DEU,BOG,1,80,26,95,11107108
DEU,BOG,50,50,434,1846498,99
DEU,BOG,300,300,684,2908926,49
DEU,BOG,24480,4892,20786108,0,0
DEU,BOG,2250,672,2842969,0,0
DEU,BOG,26256,615,28491,120021960,3
DEU,BOG,23220,697,3199,13508872,5
DEU,BOG,70780,2483,10801,45620438,43
DEU,BOG,1800,924,5,82,0
DEU,BOG,1550,10122,75,55,0
DEU,BOG,0,5,0,55000,222956800
DEU,BOG,2714,9,3214,14101532,7
DEU,BOG,125,2,0,9440,39906561
DEU,BOG,7100,220,1278,12312,0
DEU,BOG,41367,1381,7450,31383377,75
DEU,BOG,1,639,61,89,57041
DEU,BOG,246,2081,67,94,0
DEU,BOG,7537,41130,174343900,0,0
DEU,BOG,1300,1300,7800,0,0
DEU,BOG,2,2,1,85,0
DEU,BOG,180,180,477,45,0
DEU,BOG,3420,3420,18183,77078400,63
DEU,BOG,4800,624,2639900,61127,0
DEU,BOG,20,20,84,360152,2
DEU,BOG,25,25,112,481099,37
DEU,BOG,130,130,489,2080932,61
DEU,BOG,26,26,112,480273,57
DEU,BOG,10,10,4,88,0
DEU,BOG,13,13,157,670597,11
DEU,BOG,216,216,808,3514385,1
DEU,BOG,70,70,329,1419720,97
DEU,BOG,1125,1125,5884,25281881,48
DEU,BOG,17,17,86,367380,58
DEU,BOG,1000,0,1,49,514645
DEU,BOG,319,163,6,57,24295641
DEU,BOG,253671,1,1388,5812030,45
DEU,BOG,2040,30,277,1169123,83
DEU,BOG,2380,35,323,1363977,8
DEU,BOG,40200,1174,48,4,27682159
DEU,BOG,230280,6545,52,4,156569128
DEU,BOG,180,4,27,82,0
DEU,BOG,4760,156,618,2617901,46
DEU,BOG,2380,77,309,1308950,73
DEU,BOG,13320,370,2131,9009413,56
DEU,BOG,91980,2672,13690,57890365,73
DEU,BOG,8160,2448,10245904,228876,0
DEU,BOG,8,35,8800,0,69776
DEU,BOG,2,1,2200,0,14448
DEU,BOG,4856,4856,8,167215187,5
DEU,BOG,834,8,34,62,0
DEU,BOG,32845,4646,5,84,0
DEU,BOG,3381,37,2939106,87,10373020843
DEU,BOG,560,19753,22,44,0
DEU,BOG,2162,99,2162,63863,88
DEU,BOG,300,883,1,52,0
ARM,BOG,60,0,12,47,0
ARM,BOG,448,1468,8,2,0
ARM,BOG,800,148,601002,14624,0
ARM,BOG,1540,55,246,1080873,2
ARM,BOG,37690,1010,5653,24799982,31
ARM,BOG,10560,3270,4,76,0
ARM,BOG,700,126,534095,0,0
ABW,BOG,2864,712,977,4289539,34
ABW,BOG,2532,161,866,3799900,35
ABW,BOG,1593,92,464,2037866,76
ABW,BOG,25,9,387,1699830,75
ABW,BOG,156,46,107,470864,8
ABW,BOG,161,161,651,2856812,32
ABW,BOG,4325,225,1384,24,0
ABW,BOG,3340,377,1563,6614558,73
ABW,BOG,169,169,931,3939544,2
ABW,BOG,13566,727,62,46,21823549
ABW,BOG,564,30,25,5,907325
ABW,BOG,377,20,22,8,606494
ABW,BOG,1317,70,63,82,2118662
ABW,BOG,752,40,33,4,1209767
ABW,BOG,376,20,16,7,604883
ABW,BOG,29025,1556,71,32,46692289
ABW,BOG,90,74,90,643,65
ABW,BOG,30,30,87,361378,37
ABW,BOG,120,120,313,1293545,3
ABW,BOG,24,5,387,1636464,4
ABW,BOG,344,65,32,12,24341041
ABW,BOG,75,2378,10038465,0,0
ABW,BOG,347,84,68,2,31559955
ABW,BOG,41,48,205,5,0
ABW,BOG,8,18,75985,0,0
ABW,BOG,4591,274,1,65,6100308
ABW,BOG,200,11,93,58,265743
ABW,BOG,998,59,56,3,1326087
ABW,BOG,798,47,62,72,1060343
ABW,BOG,600,35,81,74,797231
ABW,BOG,200,11,93,58,265743
ABW,BOG,7985,476,54,76,10610277
ABW,BOG,71,74,71,362,88
ABW,BOG,225,3300,13598046,0,0
ABW,BOG,86,18,92,2,5950999
ABW,BOG,21,4,62,79,1445472
ABW,BOG,113,24,86,79,13963915
ABW,BOG,241,53,2,43,21651509
ABW,BOG,60,13,2,6,6933355
ABW,BOG,228,50,16,33,20501444
ABW,BOG,12,2,64,66,225233
ABW,BOG,52,65,52,582,4
ABW,BOG,29,33,29,230,69
ABW,BOG,41,32,41,2393,64
ABW,BOG,36,39,36,1953,6
ABW,BOG,310,21,310,6635,6
ABW,BOG,144,25,144,6164,4
ABW,BOG,16,8,16,1099,2
ABW,BOG,325,621,43,63692423,34
ABW,BOG,21,41,48,2336391,54
ABW,BOG,4725,84,1542,8,0
ABW,BOG,250,4,35,35,0
ABW,BOG,1750,16,242,1045087,2
ABW,BOG,2630,56,657,2824402,45
ABW,BOG,1660,24,498,38,0
ABW,BOG,500,60,316,1376905,66
ABW,BOG,5437,252,2689,11577033,2
ABW,BOG,188,188,2514,10734050,48
ABW,BOG,60,60,122,517399,3
ABW,BOG,55,55,124,525195,12
ABW,BOG,168,168,366,1546171,51
ABW,BOG,60,60,122,526943,54
ABW,BOG,55,55,124,535375,24
ABW,BOG,168,168,366,1577244,17
ABW,BOG,389,72,250056,348101,96
ABW,BOG,474,3792,59,4,0
BIH,BOG,5,40,168558,0,0
BIH,BOG,31755,577,8891,37534489,18
BIH,BOG,9000,80,1080,2,0
AGO,BOG,3,12299,98,2,0
AGO,BOG,30,0,13,87,1507842
AGO,BOG,9,46,9,299,65
AGO,BOG,23,3,23,1455,22
AGO,BOG,2,3,2,565,7
SAU,BOG,920,766,8,65,0
SAU,BOG,8772,5875,26,81,0
SAU,BOG,11948,1711,9418,40272653,95
SAU,BOG,10,10,138,2,0
SAU,BOG,962,365,56,26,0
SAU,BOG,30,30,121,512749,93
SAU,BOG,20,20,118,500058,1
SAU,BOG,28,28,128,541941,14
SAU,BOG,16,16,67,284296,99
SAU,BOG,14,14,50,213222,74
SAU,BOG,45,45,138,586997,13
SAU,BOG,25,25,148,628245,58
SAU,BOG,15,14,15,78,5
SAU,BOG,20,20,90,9,0
SAU,BOG,17,9,15,37566193,92
SAU,BOG,6,3,23,6935983,36
SAU,BOG,3,1,62,3611900,16
SAU,BOG,16,20146,9,87,0
SAU,BOG,6,51444,56,5,0
SAU,BOG,12900,633,4093,99,0
SAU,BOG,800,17,152,36,0
SAU,BOG,210,17,2,8697,0
SAU,BOG,540,17,172,715639,1
SAU,BOG,610,17,684,2834808,83
SAU,BOG,700,34,219,17,0
SAU,BOG,469,469,2582,26,0
SAU,BOG,5040,46176,48,4,0
SAU,BOG,8400,76960,8,2,0
SAU,BOG,4219,14840,4,5,0
SAU,BOG,720,10320,42739557,0,0
SAU,BOG,130,130,1096,4688905,48
SAU,BOG,260,260,1508,6466504,46
SAU,BOG,133,65,133,617,3
SAU,BOG,73,73,482,2084242,36
SAU,BOG,153,77,153,1153,4
SAU,BOG,12,3,12,112,56
SAU,BOG,20,180,756275,0,0
SAU,BOG,2,0,2,85,508026
SAU,BOG,8,0,11,68,2882
SAU,BOG,0,1,0,7,26
SAU,BOG,0,76,0,1863,16
SAU,BOG,4,5,1777,7551947,15
SAU,BOG,1,0,9,32,1798628
DZA,BOG,17,750,3166042,0,0
DZA,BOG,2943,19755,72,72,0
ARG,BOG,50,1909,31,6,0
ARG,BOG,61,855,3,165498550,3179583
ARG,BOG,2,3250,13809250,0,0
ARG,BOG,31460,3146,13313777,300621,0
ARG,BOG,95950,26446,5,1,2424153
ARG,BOG,51702,10376,43708900,0,0
ARG,BOG,64,1010,4196489,0,0
ARG,BOG,13273,2362,54,3,0
ARG,BOG,3200,453,8,8,24284793
ARG,BOG,2750,6,2750,84190,45
ARG,BOG,1513,39,1513,14171,3
ARG,BOG,300,2937,1,33,0
ARG,BOG,1200,20,7668,44,0
ARG,BOG,2,20,3733,15159728,12
ARG,BOG,2507,2507,7,5,99298762
ARG,BOG,78,1880,8246920,0,44841
ARG,BOG,7,5,685,2823778,47
ARG,BOG,20,20,145,617176,56
ARG,BOG,0,1,0,32,62
ARG,BOG,0,1,0,73,85
ARG,BOG,5,5,43,182482,49
ARG,BOG,0,11,0,850,3603022
ARG,BOG,2,39,2,36,152598
ARG,BOG,8,0,8,15,3111951
ARG,BOG,1,0,1,56,188883
ARG,BOG,0,1,0,1297,5497788
ARG,BOG,0,11,0,28,46
ARG,BOG,1,2,143,55,0
ARG,BOG,10,1,32,136067,8
ARG,BOG,4,0,4,84,147681
ARG,BOG,10,0,1,8,45779
ARG,BOG,3,95,73,310914,7
ARG,BOG,1300,11,18,331663,2
ARG,BOG,1,88,1,172,26
ARG,BOG,72,0,62,56,261758
ARG,BOG,12,2970,64,38,0
ARG,BOG,17075,325,2236,9293894,44
ARG,BOG,760,95,471,1957807,72
ARG,BOG,18625,5550,5,44,0
ARG,BOG,4200,92,462,62,0
ARG,BOG,355,44,304,1274944,54
ARG,BOG,3240,670,4,6,0
ARG,BOG,2,0,1,68,3867630
ARG,BOG,179,190,77,27,75018283
ARG,BOG,2,0,1,64,283553
ARG,BOG,1,0,83,83,404686
ARG,BOG,896800,72,44815,187408241,5
ARG,BOG,1,2285,10023518,0,0
ARG,BOG,60000,5151,6,72,0
ARG,BOG,0,21,0,214,34
ARG,BOG,69,5,3284,13313439,66
ARG,BOG,1,1,214,869815,28
ARG,BOG,155,55,11081,44922795,41
ARG,BOG,24,2,68,95,5695330
ARG,BOG,12,0,11,15,555973
ARG,BOG,2024,88,1841549,1463556,66
AUS,BOG,216960,8,38244,161422463,2
AUS,BOG,19600,9,5467,79,0
AUS,BOG,22000,8,2200,0,0
AUS,BOG,8100,4860,20560764,0,0
AUS,BOG,335,223,942707,0,0
AUS,BOG,1500,4,315,35,0
AUS,BOG,5400,2,1134,6,0
AUS,BOG,7150,2431,10663970,24024,0
AUS,BOG,33600,5880,23877680,580609,0
AUS,BOG,16850,3370,14783044,0,0
AUS,BOG,60770,11638,3,1,0
AUS,BOG,2988,883,3002,13170507,98
AUS,BOG,40,5,84,44,0
AUS,BOG,500,2,20,4,0
AUS,BOG,140,29,42,8,1967019
AUS,BOG,367,89,2,74,42772880
AUS,BOG,5,1,5,59,700771
AUS,BOG,189,44,19,88,5911294
AUS,BOG,4,2,14,60644,24
AUS,BOG,1,1,1,5318,46
AUS,BOG,149,74,34,82,8222109
AUS,BOG,208,60,97,1,29349317
AUS,BOG,2791,496,74,27,266799588
AUS,BOG,254,43,77,82,16768330
AUS,BOG,704,295,43,8,75409223
AUS,BOG,3750,754,45,12,276585352
